energy_eV,dos,integrated_dos
-20.719,0.4234E-22,0.1282E-23
-20.699,0.1227E-21,0.3736E-23
-20.679,0.3518E-21,0.1077E-22
-20.659,0.9979E-21,0.3073E-22
-20.639,0.2800E-20,0.8673E-22
-20.619,0.7772E-20,0.2422E-21
-20.599,0.2134E-19,0.6690E-21
-20.579,0.5797E-19,0.1829E-20
-20.559,0.1558E-18,0.4944E-20
-20.539,0.4141E-18,0.1323E-19
-20.519,0.1089E-17,0.3501E-19
-20.499,0.2833E-17,0.9168E-19
-20.479,0.7292E-17,0.2375E-18
-20.459,0.1856E-16,0.6088E-18
-20.439,0.4675E-16,0.1544E-17
-20.419,0.1165E-15,0.3874E-17
-20.399,0.2871E-15,0.9616E-17
-20.379,0.7000E-15,0.2362E-16
-20.359,0.1689E-14,0.5739E-16
-20.339,0.4029E-14,0.1380E-15
-20.319,0.9510E-14,0.3282E-15
-20.299,0.2221E-13,0.7723E-15
-20.279,0.5130E-13,0.1798E-14
-20.259,0.1172E-12,0.4143E-14
-20.239,0.2650E-12,0.9443E-14
-20.219,0.5926E-12,0.2130E-13
-20.199,0.1311E-11,0.4752E-13
-20.179,0.2869E-11,0.1049E-12
-20.159,0.6212E-11,0.2291E-12
-20.139,0.1330E-10,0.4952E-12
-20.119,0.2819E-10,0.1059E-11
-20.099,0.5908E-10,0.2241E-11
-20.079,0.1225E-09,0.4691E-11
-20.059,0.2513E-09,0.9716E-11
-20.039,0.5099E-09,0.1991E-10
-20.019,0.1023E-08,0.4038E-10
-19.999,0.2032E-08,0.8103E-10
-19.979,0.3992E-08,0.1609E-09
-19.959,0.7758E-08,0.3160E-09
-19.939,0.1491E-07,0.6143E-09
-19.919,0.2836E-07,0.1182E-08
-19.899,0.5336E-07,0.2249E-08
-19.879,0.9931E-07,0.4235E-08
-19.859,0.1828E-06,0.7892E-08
-19.839,0.3330E-06,0.1455E-07
-19.819,0.6000E-06,0.2655E-07
-19.799,0.1069E-05,0.4794E-07
-19.779,0.1886E-05,0.8565E-07
-19.759,0.3289E-05,0.1514E-06
-19.739,0.5676E-05,0.2649E-06
-19.719,0.9688E-05,0.4587E-06
-19.699,0.1636E-04,0.7859E-06
-19.679,0.2733E-04,0.1332E-05
-19.659,0.4516E-04,0.2236E-05
-19.639,0.7383E-04,0.3712E-05
-19.619,0.1194E-03,0.6100E-05
-19.599,0.1910E-03,0.9921E-05
-19.579,0.3023E-03,0.1597E-04
-19.559,0.4733E-03,0.2543E-04
-19.539,0.7331E-03,0.4010E-04
-19.519,0.1123E-02,0.6256E-04
-19.499,0.1703E-02,0.9661E-04
-19.479,0.2553E-02,0.1477E-03
-19.459,0.3787E-02,0.2234E-03
-19.439,0.5557E-02,0.3345E-03
-19.419,0.8066E-02,0.4959E-03
-19.399,0.1158E-01,0.7275E-03
-19.379,0.1645E-01,0.1057E-02
-19.359,0.2312E-01,0.1519E-02
-19.339,0.3215E-01,0.2162E-02
-19.319,0.4421E-01,0.3046E-02
-19.299,0.6015E-01,0.4249E-02
-19.279,0.8095E-01,0.5868E-02
-19.259,0.1078E+00,0.8024E-02
-19.239,0.1420E+00,0.1086E-01
-19.219,0.1850E+00,0.1456E-01
-19.199,0.2384E+00,0.1933E-01
