level_index,energy_eV,occupied
1,-18.739100,1
2,-14.182800,1
3,-11.381800,1
4,-10.103000,1
5,-8.431400,1
6,-6.662300,1
7,-0.999200,0
8,-0.571900,0
9,0.100000,0
10,0.104900,0
11,0.123900,0
12,0.261300,0
