energy_eV,dos,integrated_dos
-23.210,0.4260E-22,0.1290E-23
-23.190,0.1235E-21,0.3759E-23
-23.170,0.3540E-21,0.1084E-22
-23.150,0.1004E-20,0.3092E-22
-23.130,0.2817E-20,0.8726E-22
-23.110,0.7819E-20,0.2436E-21
-23.090,0.2147E-19,0.6730E-21
-23.070,0.5831E-19,0.1839E-20
-23.050,0.1567E-18,0.4973E-20
-23.030,0.4165E-18,0.1330E-19
-23.010,0.1095E-17,0.3521E-19
-22.990,0.2849E-17,0.9219E-19
-22.970,0.7332E-17,0.2388E-18
-22.950,0.1866E-16,0.6121E-18
-22.930,0.4701E-16,0.1552E-17
-22.910,0.1171E-15,0.3894E-17
-22.890,0.2886E-15,0.9667E-17
-22.870,0.7037E-15,0.2374E-16
-22.850,0.1697E-14,0.5768E-16
-22.830,0.4049E-14,0.1387E-15
-22.810,0.9558E-14,0.3298E-15
-22.790,0.2232E-13,0.7761E-15
-22.770,0.5155E-13,0.1807E-14
-22.750,0.1178E-12,0.4163E-14
-22.730,0.2663E-12,0.9488E-14
-22.710,0.5954E-12,0.2140E-13
-22.690,0.1317E-11,0.4774E-13
-22.670,0.2882E-11,0.1054E-12
-22.650,0.6240E-11,0.2302E-12
-22.630,0.1336E-10,0.4975E-12
-22.610,0.2831E-10,0.1064E-11
-22.590,0.5934E-10,0.2250E-11
-22.570,0.1230E-09,0.4711E-11
-22.550,0.2523E-09,0.9757E-11
-22.530,0.5120E-09,0.2000E-10
-22.510,0.1028E-08,0.4055E-10
-22.490,0.2040E-08,0.8136E-10
-22.470,0.4008E-08,0.1615E-09
-22.450,0.7788E-08,0.3173E-09
-22.430,0.1497E-07,0.6167E-09
-22.410,0.2847E-07,0.1186E-08
-22.390,0.5356E-07,0.2257E-08
-22.370,0.9967E-07,0.4251E-08
-22.350,0.1835E-06,0.7920E-08
-22.330,0.3342E-06,0.1460E-07
-22.310,0.6020E-06,0.2664E-07
-22.290,0.1073E-05,0.4811E-07
-22.270,0.1892E-05,0.8594E-07
-22.250,0.3300E-05,0.1519E-06
-22.230,0.5693E-05,0.2658E-06
-22.210,0.9718E-05,0.4602E-06
-22.190,0.1641E-04,0.7883E-06
-22.170,0.2741E-04,0.1337E-05
-22.150,0.4529E-04,0.2242E-05
-22.130,0.7404E-04,0.3723E-05
-22.110,0.1197E-03,0.6118E-05
-22.090,0.1915E-03,0.9949E-05
-22.070,0.3031E-03,0.1601E-04
-22.050,0.4746E-03,0.2550E-04
-22.030,0.7350E-03,0.4020E-04
-22.010,0.1126E-02,0.6272E-04
-21.990,0.1707E-02,0.9686E-04
-21.970,0.2559E-02,0.1480E-03
-21.950,0.3795E-02,0.2239E-03
-21.930,0.5569E-02,0.3353E-03
-21.910,0.8083E-02,0.4970E-03
-21.890,0.1161E-01,0.7291E-03
-21.870,0.1649E-01,0.1059E-02
-21.850,0.2317E-01,0.1522E-02
-21.830,0.3221E-01,0.2166E-02
-21.810,0.4429E-01,0.3052E-02
-21.790,0.6025E-01,0.4257E-02
-21.770,0.8109E-01,0.5879E-02
-21.750,0.1080E+00,0.8038E-02
-21.730,0.1422E+00,0.1088E-01
-21.710,0.1852E+00,0.1459E-01
-21.690,0.2388E+00,0.1936E-01
-21.670,0.3044E+00,0.2545E-01
-21.650,0.3840E+00,0.3313E-01
-21.630,0.4791E+00,0.4271E-01
-21.610,0.5914E+00,0.5454E-01
-21.590,0.7221E+00,0.6898E-01
-21.570,0.8723E+00,0.8643E-01
-21.550,0.1042E+01,0.1073E+00
-21.530,0.1232E+01,0.1319E+00
-21.510,0.1441E+01,0.1607E+00
-21.490,0.1667E+01,0.1941E+00
-21.470,0.1908E+01,0.2322E+00
-21.450,0.2160E+01,0.2754E+00
-21.430,0.2419E+01,0.3238E+00
-21.410,0.2680E+01,0.3774E+00
-21.390,0.2938E+01,0.4362E+00
-21.370,0.3185E+01,0.4999E+00
-21.350,0.3417E+01,0.5682E+00
-21.330,0.3625E+01,0.6407E+00
-21.310,0.3805E+01,0.7168E+00
-21.290,0.3951E+01,0.7959E+00
-21.270,0.4059E+01,0.8770E+00
-21.250,0.4125E+01,0.9595E+00
