energy_eV,dos,integrated_dos
-22.973,0.4266E-22,0.1292E-23
-22.953,0.1236E-21,0.3764E-23
-22.933,0.3544E-21,0.1085E-22
-22.913,0.1005E-20,0.3096E-22
-22.893,0.2820E-20,0.8736E-22
-22.873,0.7828E-20,0.2439E-21
-22.853,0.2149E-19,0.6738E-21
-22.833,0.5838E-19,0.1841E-20
-22.813,0.1569E-18,0.4979E-20
-22.793,0.4170E-18,0.1332E-19
-22.773,0.1096E-17,0.3525E-19
-22.753,0.2852E-17,0.9229E-19
-22.733,0.7340E-17,0.2391E-18
-22.713,0.1869E-16,0.6128E-18
-22.693,0.4706E-16,0.1554E-17
-22.673,0.1172E-15,0.3899E-17
-22.653,0.2889E-15,0.9677E-17
-22.633,0.7044E-15,0.2376E-16
-22.613,0.1699E-14,0.5774E-16
-22.593,0.4053E-14,0.1388E-15
-22.573,0.9567E-14,0.3302E-15
-22.553,0.2234E-13,0.7769E-15
-22.533,0.5160E-13,0.1809E-14
-22.513,0.1179E-12,0.4167E-14
-22.493,0.2665E-12,0.9497E-14
-22.473,0.5960E-12,0.2142E-13
-22.453,0.1318E-11,0.4778E-13
-22.433,0.2885E-11,0.1055E-12
-22.413,0.6246E-11,0.2304E-12
-22.393,0.1338E-10,0.4979E-12
-22.373,0.2834E-10,0.1065E-11
-22.353,0.5939E-10,0.2252E-11
-22.333,0.1231E-09,0.4715E-11
-22.313,0.2525E-09,0.9766E-11
-22.293,0.5124E-09,0.2001E-10
-22.273,0.1028E-08,0.4058E-10
-22.253,0.2042E-08,0.8142E-10
-22.233,0.4011E-08,0.1616E-09
-22.213,0.7794E-08,0.3175E-09
-22.193,0.1498E-07,0.6172E-09
-22.173,0.2849E-07,0.1187E-08
-22.153,0.5360E-07,0.2259E-08
-22.133,0.9974E-07,0.4254E-08
-22.113,0.1836E-06,0.7926E-08
-22.093,0.3344E-06,0.1461E-07
-22.073,0.6025E-06,0.2666E-07
-22.053,0.1074E-05,0.4814E-07
-22.033,0.1893E-05,0.8600E-07
-22.013,0.3302E-05,0.1520E-06
-21.993,0.5697E-05,0.2660E-06
-21.973,0.9724E-05,0.4605E-06
-21.953,0.1642E-04,0.7888E-06
-21.933,0.2743E-04,0.1337E-05
-21.913,0.4532E-04,0.2244E-05
-21.893,0.7408E-04,0.3725E-05
-21.873,0.1198E-03,0.6121E-05
-21.853,0.1916E-03,0.9954E-05
-21.833,0.3033E-03,0.1602E-04
-21.813,0.4748E-03,0.2552E-04
-21.793,0.7353E-03,0.4022E-04
-21.773,0.1127E-02,0.6276E-04
