level_index,energy_eV,occupied
1,-20.993300,1
2,-18.211300,1
3,-18.211000,1
4,-14.590400,1
5,-14.590100,1
6,-12.643500,1
7,-10.956300,1
8,-10.637700,1
9,-9.972300,1
10,-9.971700,1
11,-8.822100,1
12,-7.973200,1
13,-7.973200,1
14,-6.090600,1
15,-6.090200,1
16,-0.985200,0
17,-0.984800,0
18,-0.610500,0
19,0.123500,0
20,0.124700,0
21,0.140200,0
