energy_eV,dos,integrated_dos
-28.906,0.4205E-22,0.1273E-23
-28.886,0.1219E-21,0.3711E-23
-28.866,0.3495E-21,0.1070E-22
-28.846,0.9914E-21,0.3053E-22
-28.826,0.2782E-20,0.8617E-22
-28.806,0.7722E-20,0.2406E-21
-28.786,0.2121E-19,0.6647E-21
-28.766,0.5761E-19,0.1817E-20
-28.746,0.1548E-18,0.4913E-20
-28.726,0.4116E-18,0.1315E-19
-28.706,0.1082E-17,0.3479E-19
-28.686,0.2816E-17,0.9112E-19
-28.666,0.7248E-17,0.2361E-18
-28.646,0.1845E-16,0.6052E-18
-28.626,0.4648E-16,0.1535E-17
-28.606,0.1158E-15,0.3851E-17
-28.586,0.2855E-15,0.9561E-17
-28.566,0.6961E-15,0.2348E-16
-28.546,0.1679E-14,0.5707E-16
-28.526,0.4007E-14,0.1372E-15
-28.506,0.9459E-14,0.3264E-15
-28.486,0.2209E-13,0.7681E-15
-28.466,0.5103E-13,0.1789E-14
-28.446,0.1166E-12,0.4121E-14
-28.426,0.2636E-12,0.9394E-14
-28.406,0.5896E-12,0.2119E-13
-28.386,0.1305E-11,0.4728E-13
-28.366,0.2855E-11,0.1044E-12
-28.346,0.6182E-11,0.2280E-12
-28.326,0.1324E-10,0.4928E-12
-28.306,0.2806E-10,0.1054E-11
-28.286,0.5881E-10,0.2230E-11
-28.266,0.1219E-09,0.4669E-11
-28.246,0.2501E-09,0.9672E-11
-28.226,0.5076E-09,0.1982E-10
-28.206,0.1019E-08,0.4020E-10
-28.186,0.2024E-08,0.8068E-10
-28.166,0.3975E-08,0.1602E-09
-28.146,0.7726E-08,0.3147E-09
-28.126,0.1485E-07,0.6118E-09
-28.106,0.2825E-07,0.1177E-08
-28.086,0.5315E-07,0.2240E-08
-28.066,0.9892E-07,0.4218E-08
-28.046,0.1821E-06,0.7861E-08
-28.026,0.3318E-06,0.1450E-07
-28.006,0.5978E-06,0.2645E-07
-27.986,0.1066E-05,0.4776E-07
-27.966,0.1879E-05,0.8534E-07
-27.946,0.3278E-05,0.1509E-06
-27.926,0.5656E-05,0.2640E-06
-27.906,0.9655E-05,0.4571E-06
-27.886,0.1631E-04,0.7832E-06
-27.866,0.2724E-04,0.1328E-05
-27.846,0.4502E-04,0.2228E-05
-27.826,0.7360E-04,0.3701E-05
-27.806,0.1190E-03,0.6081E-05
-27.786,0.1905E-03,0.9891E-05
-27.766,0.3015E-03,0.1592E-04
-27.746,0.4720E-03,0.2536E-04
-27.726,0.7311E-03,0.3998E-04
-27.706,0.1120E-02,0.6239E-04
-27.686,0.1698E-02,0.9635E-04
-27.666,0.2546E-02,0.1473E-03
-27.646,0.3777E-02,0.2228E-03
-27.626,0.5543E-02,0.3337E-03
-27.606,0.8047E-02,0.4946E-03
-27.586,0.1156E-01,0.7258E-03
-27.566,0.1642E-01,0.1054E-02
-27.546,0.2307E-01,0.1516E-02
-27.526,0.3208E-01,0.2157E-02
-27.506,0.4412E-01,0.3040E-02
-27.486,0.6003E-01,0.4240E-02
-27.466,0.8080E-01,0.5856E-02
-27.446,0.1076E+00,0.8008E-02
-27.426,0.1417E+00,0.1084E-01
-27.406,0.1847E+00,0.1454E-01
-27.386,0.2380E+00,0.1930E-01
-27.366,0.3035E+00,0.2537E-01
-27.346,0.3829E+00,0.3302E-01
-27.326,0.4778E+00,0.4258E-01
-27.306,0.5899E+00,0.5438E-01
-27.286,0.7204E+00,0.6879E-01
-27.266,0.8703E+00,0.8619E-01
-27.246,0.1040E+01,0.1070E+00
-27.226,0.1230E+01,0.1316E+00
-27.206,0.1438E+01,0.1604E+00
-27.186,0.1664E+01,0.1936E+00
-27.166,0.1905E+01,0.2317E+00
-27.146,0.2157E+01,0.2749E+00
-27.126,0.2416E+01,0.3232E+00
-27.106,0.2677E+01,0.3767E+00
-27.086,0.2935E+01,0.4354E+00
-27.066,0.3182E+01,0.4991E+00
-27.046,0.3414E+01,0.5674E+00
-27.026,0.3623E+01,0.6398E+00
-27.006,0.3803E+01,0.7159E+00
-26.986,0.3950E+01,0.7949E+00
-26.966,0.4058E+01,0.8760E+00
-26.946,0.4124E+01,0.9585E+00
-26.926,0.4147E+01,0.1041E+01
-26.906,0.4124E+01,0.1124E+01
-26.886,0.4058E+01,0.1205E+01
-26.866,0.3950E+01,0.1284E+01
-26.846,0.3803E+01,0.1360E+01
-26.826,0.3623E+01,0.1433E+01
-26.806,0.3414E+01,0.1501E+01
-26.786,0.3182E+01,0.1565E+01
-26.766,0.2935E+01,0.1623E+01
-26.746,0.2677E+01,0.1677E+01
-26.726,0.2416E+01,0.1725E+01
-26.706,0.2157E+01,0.1768E+01
-26.686,0.1905E+01,0.1806E+01
-26.666,0.1664E+01,0.1840E+01
-26.646,0.1438E+01,0.1868E+01
-26.626,0.1230E+01,0.1893E+01
-26.606,0.1040E+01,0.1914E+01
-26.586,0.8703E+00,0.1931E+01
-26.566,0.7204E+00,0.1946E+01
-26.546,0.5899E+00,0.1957E+01
-26.526,0.4778E+00,0.1967E+01
-26.506,0.3829E+00,0.1975E+01
-26.486,0.3035E+00,0.1981E+01
-26.466,0.2380E+00,0.1985E+01
-26.446,0.1847E+00,0.1989E+01
-26.426,0.1417E+00,0.1992E+01
-26.406,0.1076E+00,0.1994E+01
-26.386,0.8080E-01,0.1996E+01
-26.366,0.6003E-01,0.1997E+01
-26.346,0.4412E-01,0.1998E+01
-26.326,0.3208E-01,0.1998E+01
-26.306,0.2307E-01,0.1999E+01
-26.286,0.1642E-01,0.1999E+01
-26.266,0.1156E-01,0.2000E+01
-26.246,0.8047E-02,0.2000E+01
-26.226,0.5543E-02,0.2000E+01
-26.206,0.3777E-02,0.2000E+01
-26.186,0.2546E-02,0.2000E+01
-26.166,0.1698E-02,0.2000E+01
-26.146,0.1120E-02,0.2000E+01
-26.126,0.7311E-03,0.2000E+01
-26.106,0.4720E-03,0.2000E+01
-26.086,0.3014E-03,0.2000E+01
-26.066,0.1905E-03,0.2000E+01
-26.046,0.1190E-03,0.2000E+01
-26.026,0.7360E-04,0.2000E+01
-26.006,0.4502E-04,0.2000E+01
-25.986,0.2724E-04,0.2000E+01
-25.966,0.1631E-04,0.2000E+01
-25.946,0.9655E-05,0.2000E+01
-25.926,0.5656E-05,0.2000E+01
-25.906,0.3277E-05,0.2000E+01
-25.886,0.1879E-05,0.2000E+01
-25.866,0.1066E-05,0.2000E+01
-25.846,0.5978E-06,0.2000E+01
-25.826,0.3317E-06,0.2000E+01
-25.806,0.1821E-06,0.2000E+01
-25.786,0.9892E-07,0.2000E+01
-25.766,0.5315E-07,0.2000E+01
-25.746,0.2825E-07,0.2000E+01
-25.726,0.1485E-07,0.2000E+01
-25.706,0.7726E-08,0.2000E+01
-25.686,0.3975E-08,0.2000E+01
-25.666,0.2023E-08,0.2000E+01
-25.646,0.1019E-08,0.2000E+01
-25.626,0.5076E-09,0.2000E+01
-25.606,0.2501E-09,0.2000E+01
-25.586,0.1219E-09,0.2000E+01
-25.566,0.5881E-10,0.2000E+01
-25.546,0.2805E-10,0.2000E+01
-25.526,0.1324E-10,0.2000E+01
-25.506,0.6182E-11,0.2000E+01
-25.486,0.2855E-11,0.2000E+01
-25.466,0.1304E-11,0.2000E+01
-25.446,0.5896E-12,0.2000E+01
-25.426,0.2636E-12,0.2000E+01
-25.406,0.1166E-12,0.2000E+01
-25.386,0.5102E-13,0.2000E+01
-25.366,0.2209E-13,0.2000E+01
-25.346,0.9458E-14,0.2000E+01
-25.326,0.4007E-14,0.2000E+01
-25.306,0.1679E-14,0.2000E+01
-25.286,0.6961E-15,0.2000E+01
-25.266,0.2855E-15,0.2000E+01
-25.246,0.1158E-15,0.2000E+01
-25.226,0.4648E-16,0.2000E+01
-25.206,0.1845E-16,0.2000E+01
-25.186,0.7248E-17,0.2000E+01
-25.166,0.2816E-17,0.2000E+01
-25.146,0.1082E-17,0.2000E+01
-25.126,0.4116E-18,0.2000E+01
-25.106,0.1548E-18,0.2000E+01
-25.086,0.5761E-19,0.2000E+01
-25.066,0.2120E-19,0.2000E+01
-25.046,0.7722E-20,0.2000E+01
-25.026,0.2782E-20,0.2000E+01
-25.006,0.9913E-21,0.2000E+01
-24.986,0.3495E-21,0.2000E+01
-24.966,0.1219E-21,0.2000E+01
-24.946,0.4205E-22,0.2000E+01
-24.926,0.1435E-22,0.2000E+01
-24.906,0.4845E-23,0.2000E+01
-24.886,0.1618E-23,0.2000E+01
-24.866,0.5347E-24,0.2000E+01
-24.846,0.1748E-24,0.2000E+01
-24.826,0.5651E-25,0.2000E+01
-24.806,0.1808E-25,0.2000E+01
-24.786,0.5720E-26,0.2000E+01
-24.766,0.1791E-26,0.2000E+01
-24.746,0.5545E-27,0.2000E+01
-24.726,0.1699E-27,0.2000E+01
-24.706,0.5148E-28,0.2000E+01
-24.686,0.1543E-28,0.2000E+01
-24.666,0.4577E-29,0.2000E+01
-24.646,0.1343E-29,0.2000E+01
-24.626,0.3897E-30,0.2000E+01
-24.606,0.1119E-30,0.2000E+01
-24.586,0.3178E-31,0.2000E+01
-24.566,0.8930E-32,0.2000E+01
-24.546,0.2482E-32,0.2000E+01
-24.526,0.6825E-33,0.2000E+01
-24.506,0.1857E-33,0.2000E+01
-24.486,0.4996E-34,0.2000E+01
-24.466,0.1330E-34,0.2000E+01
-24.446,0.3502E-35,0.2000E+01
-24.426,0.9124E-36,0.2000E+01
-24.406,0.2351E-36,0.2000E+01
-24.386,0.5994E-37,0.2000E+01
-24.366,0.1512E-37,0.2000E+01
-24.346,0.3772E-38,0.2000E+01
-24.326,0.9309E-39,0.2000E+01
-24.306,0.2273E-39,0.2000E+01
-24.286,0.5490E-40,0.2000E+01
-24.266,0.1312E-40,0.2000E+01
-24.246,0.3101E-41,0.2000E+01
-24.226,0.7250E-42,0.2000E+01
-24.206,0.1677E-42,0.2000E+01
-24.186,0.3838E-43,0.2000E+01
-24.166,0.8688E-44,0.2000E+01
-24.146,0.1946E-44,0.2000E+01
-24.126,0.4310E-45,0.2000E+01
-24.106,0.9446E-46,0.2000E+01
-24.086,0.2048E-46,0.2000E+01
-24.066,0.4392E-47,0.2000E+01
-24.046,0.9319E-48,0.2000E+01
-24.026,0.1956E-48,0.2000E+01
-24.006,0.4061E-49,0.2000E+01
-23.986,0.8341E-50,0.2000E+01
-23.966,0.1695E-50,0.2000E+01
-23.946,0.3407E-51,0.2000E+01
-23.926,0.6774E-52,0.2000E+01
-23.906,0.1333E-52,0.2000E+01
-23.886,0.2593E-53,0.2000E+01
-23.866,0.4992E-54,0.2000E+01
-23.846,0.9507E-55,0.2000E+01
-23.826,0.1791E-55,0.2000E+01
-23.806,0.3338E-56,0.2000E+01
-23.786,0.6154E-57,0.2000E+01
-23.766,0.1122E-57,0.2000E+01
-23.746,0.2025E-58,0.2000E+01
-23.726,0.3614E-59,0.2000E+01
-23.706,0.6381E-60,0.2000E+01
-23.686,0.1115E-60,0.2000E+01
-23.666,0.1926E-61,0.2000E+01
