level_index,energy_eV,occupied
1,-26.926000,1
2,-15.723500,1
3,-12.093200,1
4,-10.949200,1
5,-10.022400,1
6,-6.144500,1
7,-2.570800,0
8,-0.599100,0
9,-0.012600,0
10,0.191100,0
11,0.246700,0
12,0.290200,0
